NAME_0,JMP reported,Training,Validation,nationalSMDWcoverage_Hhlevel
Palestina,0.8,0.8,NA,0.8
Central African Republic,0.06,0.01,NA,0.01
Chad,0.06,0.02,NA,0.02
Gambia,0.45,0.28,NA,0.28
Burkina Faso,NA,NA,NA,
South Sudan,NA,NA,NA,
Guinea-Bissau,0.24,0.11,NA,0.11
Madagascar,0.21,0.06,NA,0.06
Guinea,NA,NA,NA,
Mali,NA,0.05,NA,0.05
Niger,NA,NA,NA,
Zambia,NA,NA,NA,
Benin,NA,NA,NA,
Mozambique,NA,NA,NA,
Cameroon,NA,NA,NA,
Tanzania,NA,NA,NA,
Malawi,NA,NA,NA,
Ethiopia,0.13,NA,NA,
Liberia,NA,NA,NA,
Sierra Leone,0.11,0.01,NA,0.01
Democratic Republic of the Congo,0.19,NA,NA,
Sudan,NA,NA,NA,
Côte d'Ivoire,0.35,NA,NA,
Botswana,NA,NA,NA,
Somalia,NA,NA,NA,
Togo,0.2,0.06,NA,0.06
Republic of Congo,NA,NA,NA,
Algeria,0.72,0.54,NA,0.54
Angola,NA,NA,NA,
Namibia,NA,NA,NA,
Senegal,NA,NA,NA,
Kenya,NA,NA,NA,
Gabon,NA,NA,NA,
Eritrea,NA,NA,NA,
Bangladesh,0.59,0.48,NA,0.48
Tuvalu,NA,NA,0.05,0.05
Mauritania,NA,NA,NA,
Cape Verde,NA,NA,NA,
Burundi,NA,NA,NA,
Comoros,NA,NA,NA,
Micronesia,NA,NA,NA,
Uganda,0.17,NA,NA,
Equatorial Guinea,NA,NA,NA,
Rwanda,0.12,NA,NA,
Swaziland,NA,NA,NA,
Ghana,0.41,0.16,NA,0.16
Papua New Guinea,NA,NA,NA,
Laos,0.18,0.15,NA,0.15
Lesotho,0.29,0.25,NA,0.25
Djibouti,NA,NA,NA,
Vanuatu,NA,NA,NA,
Fiji,NA,NA,NA,
Mauritius,NA,NA,NA,
Solomon Islands,NA,NA,NA,
Timor-Leste,NA,NA,NA,
Myanmar,0.59,NA,NA,
South Africa,NA,NA,NA,
Samoa,0.46,NA,0.541,0.541
American Samoa,0.98,NA,NA,
Mongolia,0.3,0.23,NA,0.23
Bhutan,0.37,NA,NA,
Yemen,NA,NA,NA,
Honduras,NA,NA,0.5,0.5
Nicaragua,0.56,NA,NA,
Cambodia,0.28,NA,NA,
Guatemala,0.56,NA,NA,
Belize,NA,NA,NA,
Bolivia,NA,NA,NA,
Nigeria,0.22,0.04,NA,0.04
Dominica,NA,NA,NA,
Sri Lanka,NA,NA,NA,
Thailand,NA,NA,NA,
Indonesia,NA,NA,NA,
El Salvador,NA,NA,NA,
Panama,NA,NA,NA,
Malaysia,0.94,NA,NA,
Costa Rica,0.81,NA,NA,
Brazil,0.86,NA,NA,
Philippines,0.47,NA,NA,
Vietnam,NA,NA,0.55,0.55
Colombia,0.73,NA,NA,
São Tomé and Príncipe,0.36,0.32,NA,0.32
Nepal,0.18,NA,NA,
Jamaica,NA,NA,NA,
Mexico,0.43,NA,NA,
Ecuador,0.67,NA,NA,
Cuba,NA,NA,NA,
Kazakhstan,0.89,NA,NA,
Dominican Republic,NA,NA,0.4,0.4
Haiti,NA,NA,NA,
Afghanistan,0.28,NA,NA,
Peru,0.51,NA,NA,
India,NA,NA,NA,
Saint Lucia,NA,NA,NA,
Tunisia,0.79,0.588,NA,0.588
Russia,0.76,NA,NA,
Grenada,0.87,NA,NA,
Zimbabwe,0.3,0.1,NA,0.1
Georgia,0.66,0.56,NA,0.56
China,NA,NA,NA,
Belarus,0.95,NA,NA,
Turkmenistan,0.95,NA,NA,
Ukraine,0.89,NA,NA,
Libya,NA,NA,NA,
Montenegro,0.85,NA,NA,
Guyana,NA,0.42,NA,0.42
North Korea,NA,NA,NA,
Kyrgyzstan,0.7,NA,NA,
Saint Vincent and the Grenadines,NA,NA,NA,
Bosnia and Herzegovina,0.89,NA,NA,
Egypt,NA,NA,NA,
Romania,0.82,NA,NA,
Argentina,NA,NA,NA,
Serbia,0.76,NA,NA,
Albania,0.71,NA,NA,
Iraq,0.6,0.44,NA,0.44
Macedonia,NA,NA,NA,
Pakistan,0.36,NA,NA,
Turkey,NA,NA,NA,
Iran,0.94,NA,NA,
Bulgaria,0.89,NA,NA,
Tajikistan,0.55,NA,NA,
Paraguay,0.64,0.52,NA,0.52
Moldova,NA,NA,NA,
Armenia,0.87,NA,NA,
Syria,NA,NA,NA,
Kosovo,NA,NA,NA,
Suriname,0.56,0.48,NA,0.48
Azerbaijan,0.88,NA,NA,
Uzbekistan,0.59,NA,NA,
Morocco,0.8,NA,NA,
Jordan,0.86,NA,NA,
Lebanon,0.48,NA,NA,
Tonga,0.3,0.26,NA,0.26
