"HH7_region","name","country"
"Alto Paran<e1>","Alto Paran   Paraguay",NA
"Asunci<f3>n","Asunci N  Paraguay",NA
"ATTAPEU","Attapeu","Lao"
"Attock","Attock","PakistanPunjab"
"Bafat<e1>","Bafat   Guinea Bissau",NA
"Bahawalnagar","Bahawalnagar","PakistanPunjab"
"Bahawalpur","Bahawalpur","PakistanPunjab"
"Bhakkar","Bhakkar","PakistanPunjab"
"BOKEO","Bokeo","Lao"
"Bolama/Bijag<f3>s","Bolama Bijag S  Guinea Bissau",NA
"Boquer<f3>n","Boquer N  Paraguay",NA
"BORIKHAMXAY","Borikhamxay","Lao"
"Caaguaz<fa>","Caaguaz   Paraguay",NA
"CENTRAL GILBERT","Central Gilbert","Kiribati"
"Chakwal","Chakwal","PakistanPunjab"
"CHAMPASACK","Champasack","Lao"
"Chiniot","Chiniot","PakistanPunjab"
"DG Khan","Dg Khan","PakistanPunjab"
"EAST","East","SierraLeone"
"Faisalabad","Faisalabad","PakistanPunjab"
"Gab<fa>","Gab   Guinea Bissau",NA
"Gujranwala","Gujranwala","PakistanPunjab"
"Gujrat","Gujrat","PakistanPunjab"
"Hafizabad","Hafizabad","PakistanPunjab"
"HUAPHANH","Huaphanh","Lao"
"Itap<fa>a","Itap A  Paraguay",NA
"Jhang","Jhang","PakistanPunjab"
"Jhelum","Jhelum","PakistanPunjab"
"Kasur","Kasur","PakistanPunjab"
"KHAMMUA","Khammua","Lao"
"Khanewal","Khanewal","PakistanPunjab"
"Khushab","Khushab","PakistanPunjab"
"Lahore","Lahore","PakistanPunjab"
"Layyah","Layyah","PakistanPunjab"
"LINE AND PHOENIX GROUP","Line And Phoenix Group","Kiribati"
"Lodhran","Lodhran","PakistanPunjab"
"Lom<e9> Commune","Lom  Commune  Togo",NA
"LUANGNAMTHA","Luangnamtha","Lao"
"LUANGPRABANG","Luangprabang","Lao"
"Mandi Bahauddin","Mandi Bahauddin","PakistanPunjab"
"Mianwali","Mianwali","PakistanPunjab"
"Multan","Multan","PakistanPunjab"
"Muzaffargarh","Muzaffargarh","PakistanPunjab"
NA,"Na","KosovoRoma"
"Nankana Sahib","Nankana Sahib","PakistanPunjab"
"Narowal","Narowal","PakistanPunjab"
"NORTH","North","SierraLeone"
"NORTHERN GILBERT","Northern Gilbert","Kiribati"
"Okara","Okara","PakistanPunjab"
"OUDOMXAY","Oudomxay","Lao"
"Pakpattan","Pakpattan","PakistanPunjab"
"PHONGSALY","Phongsaly","Lao"
"Rajanpur","Rajanpur","PakistanPunjab"
"Rawalpindi","Rawalpindi","PakistanPunjab"
"RY Khan","Ry Khan","PakistanPunjab"
"Sahiwal","Sahiwal","PakistanPunjab"
"SARAVANE","Saravane","Lao"
"Sargodha","Sargodha","PakistanPunjab"
"SAVANNAKHET","Savannakhet","Lao"
"SEKONG","Sekong","Lao"
"Sheikhupura","Sheikhupura","PakistanPunjab"
"Sialkot","Sialkot","PakistanPunjab"
"SOUTH TARAWA","South Tarawa","Kiribati"
"SOUTH","South","SierraLeone"
"SOUTHERN GILBERT","Southern Gilbert","Kiribati"
"TT Singh","Tt Singh","PakistanPunjab"
"Vehari","Vehari","PakistanPunjab"
"VIENTIANE CAPITAL","Vientiane Capital","Lao"
"VIENTIANE","Vientiane","Lao"
"WEST","West","SierraLeone"
"XAYABURY","Xayabury","Lao"
"XAYSOMBOUNE","Xaysomboune","Lao"
"XIENGKHUANG","Xiengkhuang","Lao"
