"","min_rows","mtries","ntrees","sample_rate","model_ids","r2"
"1",3,10,200,0.6,"rf.grid_39_model_10",0.533999746151196
"2",1,10,200,0.6,"rf.grid_39_model_14",0.533999746151196
"3",5,10,200,0.8,"rf.grid_39_model_17",0.531281064682863
"4",3,10,200,0.8,"rf.grid_39_model_9",0.531281064682863
"5",5,10,100,0.8,"rf.grid_39_model_11",0.53106389295842
"6",3,10,100,0.8,"rf.grid_39_model_18",0.53106389295842
"7",1,10,100,0.8,"rf.grid_39_model_21",0.53106389295842
"8",1,10,500,0.6,"rf.grid_39_model_20",0.521078990133079
"9",3,10,500,0.6,"rf.grid_39_model_5",0.521078990133079
"10",1,13,200,0.8,"rf.grid_39_model_1",0.520705671757882
"11",5,13,200,0.8,"rf.grid_39_model_13",0.520705671757882
"12",3,10,500,0.8,"rf.grid_39_model_15",0.519562993206492
"13",5,13,500,0.8,"rf.grid_39_model_4",0.517801306425926
"14",3,20,100,0.6,"rf.grid_39_model_12",0.513251139380124
"15",1,13,100,0.6,"rf.grid_39_model_19",0.511247354994188
"16",5,13,100,0.6,"rf.grid_39_model_6",0.511247354994188
"17",5,20,500,0.6,"rf.grid_39_model_2",0.51116764816619
"18",1,20,500,0.6,"rf.grid_39_model_3",0.51116764816619
"19",5,10,217,0.6,"rf.grid_39_model_22",0.505469001617895
"20",5,20,500,0.8,"rf.grid_39_model_16",0.505061507699545
"21",1,20,500,0.8,"rf.grid_39_model_7",0.505061507699545
"22",1,20,200,0.8,"rf.grid_39_model_8",0.495557895926528
